"OwnerAge","Gender","Area","RiskClass","VehAge","BonusClass","ClaimMade"
18,"Female","Zone 1","EV ratio <5",8,"BM2","0"
18,"Female","Zone 1","EV ratio 9-12",9,"BM4","0"
18,"Female","Zone 2","EV ratio <5",11,"BM1","0"
18,"Female","Zone 2","EV ratio <5",12,"BM1","0"
18,"Female","Zone 2","EV ratio 9-12",24,"BM2","0"
18,"Female","Zone 3","EV ratio <5",4,"BM1","0"
18,"Female","Zone 3","EV ratio <5",6,"BM1","0"
18,"Female","Zone 3","EV ratio <5",10,"BM1","0"
18,"Female","Zone 3","EV ratio <5",16,"BM2","0"
18,"Female","Zone 3","EV ratio <5",19,"BM2","0"
18,"Female","Zone 3","EV ratio <5",27,"BM1","0"
18,"Female","Zone 3","EV ratio <5",30,"BM1","0"
18,"Female","Zone 3","EV ratio 6-8",12,"BM1","0"
18,"Female","Zone 3","EV ratio 6-8",15,"BM1","0"
18,"Female","Zone 3","EV ratio 9-12",7,"BM2","0"
18,"Female","Zone 3","EV ratio 9-12",7,"BM3","0"
18,"Female","Zone 3","EV ratio 9-12",12,"BM1","0"
18,"Female","Zone 3","EV ratio 9-12",12,"BM2","0"
18,"Female","Zone 3","EV ratio 16-19",13,"BM1","0"
18,"Female","Zone 4","EV ratio <5",8,"BM1","0"
18,"Female","Zone 4","EV ratio <5",15,"BM1","0"
18,"Female","Zone 4","EV ratio <5",15,"BM2","0"
18,"Female","Zone 4","EV ratio <5",16,"BM3","0"
18,"Female","Zone 4","EV ratio <5",18,"BM1","0"
18,"Female","Zone 4","EV ratio <5",18,"BM2","0"
18,"Female","Zone 4","EV ratio <5",19,"BM3","0"
18,"Female","Zone 4","EV ratio 6-8",1,"BM2","0"
18,"Female","Zone 4","EV ratio 6-8",11,"BM1","0"
18,"Female","Zone 4","EV ratio 6-8",14,"BM3","0"
18,"Female","Zone 4","EV ratio 6-8",15,"BM2","0"
18,"Female","Zone 4","EV ratio 6-8",21,"BM1","0"
18,"Female","Zone 4","EV ratio 9-12",4,"BM1","0"
18,"Female","Zone 4","EV ratio 9-12",5,"BM1","0"
18,"Female","Zone 4","EV ratio 9-12",11,"BM1","0"
18,"Female","Zone 4","EV ratio 9-12",11,"BM2","0"
18,"Female","Zone 4","EV ratio 9-12",13,"BM1","0"
